Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs1838114	SNP	rs1838114	244	0.51	19496434	0	0	0	18394434	0	0	0
rs9507104	SNP	rs9507104	222	0.55	19523734	0	0	0	18421734	0.0453878115128296	0.0376503861506432	0.0302414909663030
rs1867248	SNP	rs1867248	200	0.38	19534157	0	0	0	18432157	0.0627166451904203	0.0520251105040554	0.0417875371326685
rs7325619	SNP	rs7325619	214	0.4	19534703	0	0	0	18432703	0.0636244014206768	0.0527781182270683	0.0423923669519946
rs1334958	SNP	rs1334958	255	0.48	19541910	0	0	0	18439910	0.0756064511486242	0.0627175443438334	0.0503758990177142
rs1334961	SNP	rs1334961	251	0.49	19550775	0	0	0	18448775	0.0903450207113068	0.0749435763301136	0.0601960754798489
rs1157025	SNP	rs1157025	257	0.5	19556106	0	0	0	18454106	0.094598200257419	0.0862986919723911	0.0688348526798438
rs1334953	SNP	rs1334953	187	0.46	19584385	0	0	0	18482385	0.106532130694176	0.155761752731633	0.120961889124401
rs1334954	SNP	rs1334954	183	0.5	19584477	0	0	0	18482477	0.106570955320230	0.155987736733537	0.121131473881744
rs1974047	SNP	rs1974047	225	0.38	19704915	0	0	0	18602915	0.150316673085920	0.230883921555268	0.182967471875422
rs2006655	SNP	rs2006655	206	0.31	19746610	0	0	0	18644610	0.169690897356838	0.237501296055016	0.189050622010778
rs1380120	SNP	rs1380120	147	0.32	20131353	0	0	0.73	19029353	0.465496332406217	0.348082235998935	0.270283402538919
D13S1316	STS	AFMA060YC1	617	0.57	20682184	0	0	0.73	19580088	1.26160523988999	0.806060121121126	0.548035229400057
rs1572372	SNP	TSC0468345	205	0.48	20840004	0.55	0.67	0.73	19738004	1.56217240515718	0.998405985114546	0.663558071510223
D13S175	STS	AFM249XB1	73	0.66	20848397	0.55	0.67	0.73	19746379	1.57932497645576	1.00961319555459	0.670291462679062
rs953958	SNP	rs953958	177	0.42	21004738	0.55	0.67	1.32	19902738	1.91507421255177	1.22757036506648	0.801801977399216
rs953957	SNP	rs953957	198	0.46	21004834	0.55	0.67	1.32	19902834	1.91529321859533	1.22770912873101	0.801886149380344
